SA2_CODE_2021,C11_Neg_Ni_inc_R1_74,C11_Neg_Ni_inc_R75_99,C11_Neg_Ni_inc_R100_149,C11_Neg_Ni_inc_R150_199,C11_Neg_Ni_inc_R200_224,C11_Neg_Ni_inc_R225_274,C11_Neg_Ni_inc_R275_349,C11_Neg_Ni_inc_R350_449,C11_Neg_Ni_inc_R450_549,C11_Neg_Ni_inc_R550_649,C11_Neg_Ni_inc_R650more,C11_Neg_Ni_inc_R_NS,C11_Neg_Ni_inc_R_Tot,C11_1_149_R1_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650more,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R1_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650more,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R1_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650more,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R1_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650more,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R1_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650more,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R1_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650more,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R1_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650more,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R1_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650more,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R1_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650more,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R1_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650more,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R1_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650more,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R1_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649,C11_2500_2999_R650more,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R1_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650more,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000more_R1_74,C11_4000more_R75_99,C11_4000more_R100_149,C11_4000more_R150_199,C11_4000more_R200_224,C11_4000more_R225_274,C11_4000more_R275_349,C11_4000more_R350_449,C11_4000more_R450_549,C11_4000more_R550_649,C11_4000more_R650more,C11_4000more_R_NS,C11_4000more_R_Tot,C11_PI_S_R1_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224
801011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,4,10,0,0,0,0,19,0,0,0,0,0,0,5,13,0,0,0,0,22,0,0,0,0,0,0,4,3,7,0,0,0,21,0,0,0,0,0,0,0,4,3,4,0,0,16,0,0,0,0,0,0,0,6,8,3,7,0,25,0,0,0,0,0,0,0,0,0,6,4,0,9,0,0,0,0,0
801011002,0,0,0,0,0,0,3,4,3,0,0,5,18,9,3,3,0,0,0,0,0,0,0,0,3,25,15,26,10,0,0,0,3,5,0,0,0,4,67,10,22,10,3,4,5,3,0,0,0,0,3,67,4,11,17,11,0,0,6,7,5,0,0,0,61,0,5,5,3,0,0,4,3,0,0,0,0,24,7,6,4,9,7,3,11,19,5,0,0,0,66,0,0,5,5,3,8,12,28,0,0,0,0,58,0,0,0,7,0,3,21,51,8,0,0,0,102,0,0,0,0,0,5,17,66,12,3,0,0,111,0,0,0,0,0,0,22,110,14,0,3,0,172,0,0,0,0,0,0,11,83,20,0,0,0,116,0,0,0,0,0,0,13,61,26,13,4,0,125,0,0,0,0,0,0,4,38,12,3,3,0,58,0,0,0,0,0,0,0,8,11,5,0,0,25,0,0,5,0,6
801011003,0,0,0,0,0,0,0,7,3,4,0,0,16,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,3,0,0,0,6,3,0,0,3,18,0,0,0,0,0,0,0,6,5,0,0,0,7,0,0,0,0,3,0,5,0,4,0,3,0,13,0,0,0,0,0,0,4,5,0,0,0,0,7,0,0,0,0,0,0,4,22,3,0,0,0,33,0,0,0,4,0,0,0,17,11,0,0,0,32,0,0,0,0,0,0,8,53,20,4,0,5,96,0,0,0,0,4,3,4,42,11,0,6,0,70,0,0,3,0,4,4,3,64,28,12,0,5,130,0,0,0,0,0,6,8,47,41,3,6,0,115,0,0,0,0,3,6,7,46,30,12,7,4,109,0,0,0,0,0,11,6,21,45,13,4,3,108,0,0,0,0,0,4,13,9,21,15,8,0,64,0,0,0,3,0
801011004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,4,0,0,0,3,0,0,0,0,16,4,14,6,0,0,0,0,6,0,0,0,3,30,0,4,11,0,0,6,4,6,0,0,0,0,30,0,0,13,0,0,0,0,0,0,0,0,0,16,0,4,6,4,7,0,4,14,3,0,0,0,44,4,3,3,0,3,5,11,12,0,0,0,0,37,0,0,0,3,4,3,12,18,0,0,0,0,39,0,0,0,4,0,0,11,19,0,0,0,0,33,0,3,0,0,0,5,4,18,0,0,0,0,31,0,0,0,0,0,0,8,24,0,0,0,0,32,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0
801011005,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,7,8,8,3,0,0,3,0,5,0,0,0,0,26,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,5,5,0,0,9,0,0,0,4,25,0,0,0,5,5,0,0,9,5,0,0,0,30,0,0,0,3,0,0,0,15,0,0,0,0,24,0,0,0,0,0,0,3,19,3,0,0,0,28,0,0,0,0,0,0,8,38,8,3,0,0,59,0,0,0,0,0,0,4,22,4,0,0,0,31,0,0,0,0,0,0,0,13,7,4,0,3,30,0,0,0,0,0,0,3,18,10,0,0,0,30,0,0,0,0,0,0,0,4,5,0,0,0,3,0,0,0,3,0
801011006,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,4,0,0,5,18,0,6,3,0,0,0,0,3,5,0,0,0,17,0,4,6,3,0,0,0,4,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,3,6,3,0,3,4,0,0,0,0,20,0,0,0,0,0,5,7,5,4,0,0,0,26,0,0,5,5,0,6,10,9,4,0,0,0,29,0,0,0,0,0,0,6,23,5,0,0,0,42,0,0,0,0,3,3,10,24,18,0,0,0,63,0,0,0,6,5,0,0,21,34,0,0,0,64,0,0,0,0,0,0,0,7,14,4,3,0,33,0,0,0,0,0,0,0,9,21,0,0,0,33,0,0,0,0,0,0,0,0,3,4,0,0,8,0,4,3,3,4
801011007,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,5,0,0,0,0,10,0,8,3,0,0,0,0,0,0,0,0,0,19,0,0,3,0,0,0,4,0,0,0,0,3,13,0,0,3,4,0,0,0,0,0,0,0,0,8,0,0,6,4,0,3,4,10,3,0,0,0,31,0,0,0,3,0,5,0,7,0,0,0,0,20,0,0,0,0,0,0,7,16,0,0,0,0,26,4,0,0,0,0,0,6,21,8,0,0,0,36,0,0,0,0,0,0,6,33,14,0,0,0,55,0,0,0,0,0,0,4,26,9,0,0,0,40,0,0,0,0,0,0,0,13,7,0,0,0,27,0,0,0,0,0,0,4,3,10,4,0,0,25,0,0,0,0,0,0,0,3,4,0,0,0,9,0,0,0,3,0
801011008,5,3,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,3,5,12,11,0,0,0,0,3,0,0,0,5,34,6,24,13,5,0,0,3,5,0,0,0,0,58,0,0,16,3,0,0,3,6,0,0,0,8,34,0,0,15,11,0,0,0,6,0,0,0,0,41,0,4,8,4,6,3,8,8,0,4,0,0,44,0,0,4,5,4,5,6,19,0,0,0,4,42,0,0,0,3,3,4,9,29,7,0,0,3,67,0,0,0,5,0,0,6,26,5,3,0,0,44,0,3,0,0,3,0,6,54,12,3,0,0,88,0,0,6,0,0,0,5,37,10,0,0,0,64,0,0,0,0,0,0,4,16,8,3,0,0,39,0,0,0,0,0,0,7,26,9,0,0,0,39,0,0,0,0,0,0,0,0,0,4,0,0,7,0,4,0,0,5
801011009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,4,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,6,0,0,0,0,7,0,0,4,0,3,6,0,10,0,0,0,0,13,0,0,0,0,0,4,0,9,0,0,0,0,11,0,0,0,0,0,0,0,12,7,4,0,0,30,0,0,0,0,0,0,8,10,8,0,0,0,24,0,0,0,0,0,0,0,3,7,3,0,0,14,0,0,0,0,0,0,0,3,11,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0
801011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,5,4,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,6,6,0,0,0,9,0,0,0,3,0,0,5,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
